date,checkins,unique_ind,unique_loc
2021-07-07,18400422,7865994,661277
2021-07-08,18258832,7861018,665133
2021-07-09,18042905,7734690,623039
2021-07-10,16655703,7274107,565680
2021-07-11,14585281,6612889,457725
2021-07-12,18070731,7824609,653136
2021-07-13,17743210,7769519,657890
2021-07-14,19039637,8089914,675406
2021-07-15,19074986,8097781,676956
2021-07-16,18992596,8005078,642944
2021-07-17,18974196,7887380,604215
2021-07-18,17259037,7393890,489732
2021-07-19,20975355,8548480,655999
2021-07-20,12336422,5678794,366291
2021-07-21,18325737,7762127,599742
2021-07-22,19261749,8155914,654713
2021-07-23,19515603,8187698,660021
2021-07-24,18427529,7798119,611803
2021-07-25,16006719,7058597,484348
2021-07-26,19418579,8270676,698490
2021-07-27,19622551,8321997,703577
2021-07-28,19831246,8395305,707881
2021-07-29,19396863,8279150,700583
2021-07-30,18904504,8092181,652522
2021-07-31,18999684,7930202,605033
2021-08-01,16745940,7216699,476980
2021-08-02,19955687,8389175,699644
2021-08-03,20056135,8428884,706107
2021-08-04,19966088,8414552,708624
2021-08-05,19975283,8417547,707028
2021-08-06,20112071,8385104,671537
2021-08-07,19728486,8117127,612399
2021-08-08,16787679,7264728,480890
2021-08-09,20179181,8473013,701593
2021-08-10,17334940,7497140,574642
2021-08-11,19886866,8462701,714735
2021-08-12,19614148,8402830,709842
2021-08-13,19073947,8198185,668845
2021-08-14,18433351,7888197,612248
2021-08-15,15778774,7066182,474918
2021-08-16,19261760,8340927,713559
2021-08-17,19294421,8356638,721257
2021-08-18,19061919,8334637,725223
2021-08-19,20701548,8669392,732750
2021-08-20,19986775,8471937,695865
2021-08-21,20601150,8438695,647086
2021-08-22,17750609,7570066,509502
2021-08-23,20777800,8737541,750669
2021-08-24,20099181,8591240,749499
2021-08-25,20898367,8814461,769365
2021-08-26,21069469,8848065,771901
2021-08-27,21122424,8788247,732566
2021-08-28,21167380,8590678,676982
2021-08-29,18305255,7710179,523916
2021-08-30,21968425,8983661,761972
2021-08-31,17938501,7482416,507457
2021-09-01,22100719,9107928,789023
2021-09-02,21950290,9066121,787650
2021-09-03,22841557,9225679,787629
2021-09-04,23180717,9072418,722517
2021-09-05,21639697,8508217,601443
2021-09-06,25068473,9673723,842515
2021-09-07,25209053,9753759,846603
2021-09-08,24857360,9714060,843360
2021-09-09,25301139,9823060,845985
2021-09-10,25357189,9798438,803545
2021-09-11,25564464,9634348,742515
2021-09-12,22760385,8847218,577107
2021-09-13,23943579,9534212,810313
2021-09-14,25203956,9883271,848951
2021-09-15,25211945,9885069,849385
2021-09-16,22402145,8729379,620616
2021-09-17,24948682,9783455,804856
2021-09-18,24357098,9453119,739147
2021-09-19,21976784,8730961,577494
2021-09-20,25665903,10035506,846015
2021-09-21,25011981,9934764,843031
2021-09-22,25592458,10030592,859320
2021-09-23,26176318,10181372,860844
2021-09-24,26767619,10245556,818390
2021-09-25,27451761,10123433,756626
2021-09-26,24038686,9210042,585338
2021-09-27,26456744,10266633,847300
2021-09-28,26541913,10293712,859475
2021-09-29,26994270,10405512,859464
2021-09-30,27815729,10539569,864459
2021-10-01,28980407,10702331,829764
2021-10-02,30592905,10698178,761095
2021-10-03,28330088,10079224,607347
2021-10-04,28597344,10713530,875488
2021-10-05,28991261,10785507,887285
2021-10-06,28902108,10762592,889917
2021-10-07,29221297,10867785,892105
2021-10-08,30656128,11071380,848129
2021-10-09,31901725,10970501,772068
2021-10-10,29335877,10328554,611135
2021-10-11,29362255,10926787,879374
2021-10-12,29230419,10938403,889096
2021-10-13,29767155,11005026,893008
2021-10-14,29428703,11003118,888636
2021-10-15,30874125,11197119,843137
2021-10-16,31764101,11064336,772144
2021-10-17,29087934,10385623,605013
2021-10-18,30140880,11118633,873230
2021-10-19,28154118,10334133,706017
2021-10-20,27336429,10682293,875715
2021-10-21,29620661,11120965,890940
2021-10-22,30669726,11225960,847632
2021-10-23,31099883,10982662,773260
2021-10-24,29489172,10516959,609278
2021-10-25,30125247,11135489,874733
2021-10-26,30322123,11157114,891530
