date,state,checkins,unique_ind,unique_loc
2020-12-13,Sabah,755786,300773,21967
2020-12-13,Sarawak,1421554,499168,24539
2020-12-13,Selangor,4086857,1903175,78603
2020-12-13,Terengganu,244926,135213,14515
2020-12-13,W.P. KualaLumpur,3546738,1517257,55441
2020-12-13,W.P. Labuan,45060,20752,1141
2020-12-13,W.P. Putrajaya,215644,119758,1522
2020-12-14,Johor,1849711,840606,81031
2020-12-14,Kedah,680114,358193,33809
2020-12-14,Kelantan,225144,127413,17353
2020-12-14,Melaka,522559,241572,21166
2020-12-14,Negeri Sembilan,545333,276591,22436
2020-12-14,Pahang,669222,301799,27768
2020-12-14,Perak,1133043,520721,49303
2020-12-14,Perlis,167336,105489,8123
2020-12-14,Pulau Pinang,1231328,559351,44901
2020-12-14,Sabah,778074,325361,33842
2020-12-14,Sarawak,1231812,482143,36895
2020-12-14,Selangor,3899066,1901399,128273
2020-12-14,Terengganu,226213,125715,14823
2020-12-14,W.P. KualaLumpur,3358416,1523859,89492
2020-12-14,W.P. Labuan,51555,23055,1806
2020-12-14,W.P. Putrajaya,188105,109434,2535
2020-12-15,Johor,1952835,867848,83844
2020-12-15,Kedah,663728,351415,33468
2020-12-15,Kelantan,221550,124986,17190
2020-12-15,Melaka,525264,241653,21592
2020-12-15,Negeri Sembilan,553830,277873,23009
2020-12-15,Pahang,660284,298840,28322
2020-12-15,Perak,1097085,507685,50097
2020-12-15,Perlis,162370,104042,8294
2020-12-15,Pulau Pinang,1227979,558427,45393
2020-12-15,Sabah,790714,328317,34235
2020-12-15,Sarawak,1274110,491910,37798
2020-12-15,Selangor,3966771,1937915,131246
2020-12-15,Terengganu,224969,124591,14792
2020-12-15,W.P. KualaLumpur,3418092,1547951,91485
2020-12-15,W.P. Labuan,50527,22937,1846
2020-12-15,W.P. Putrajaya,195419,113150,2574
2020-12-16,Johor,1949597,863480,83648
2020-12-16,Kedah,684674,359585,34197
2020-12-16,Kelantan,206750,118673,16475
2020-12-16,Melaka,549268,248717,21919
2020-12-16,Negeri Sembilan,574152,281770,23364
2020-12-16,Pahang,641531,293089,28378
2020-12-16,Perak,1117761,513470,50159
2020-12-16,Perlis,164445,104431,8290
2020-12-16,Pulau Pinang,1265446,568621,45511
2020-12-16,Sabah,804985,331365,34362
2020-12-16,Sarawak,1343636,502841,38129
2020-12-16,Selangor,4083283,1966662,131846
2020-12-16,Terengganu,213471,119642,14259
2020-12-16,W.P. KualaLumpur,3571363,1580081,92307
2020-12-16,W.P. Labuan,53889,23865,1852
2020-12-16,W.P. Putrajaya,199645,115156,2598
2020-12-17,Johor,2037013,894383,84581
2020-12-17,Kedah,682621,360166,33301
2020-12-17,Kelantan,208422,119924,15752
2020-12-17,Melaka,561905,254410,22273
2020-12-17,Negeri Sembilan,592028,290959,23514
2020-12-17,Pahang,668080,303997,28412
2020-12-17,Perak,1156591,528455,50578
2020-12-17,Perlis,164617,105757,8064
2020-12-17,Pulau Pinang,1306459,582626,45941
2020-12-17,Sabah,841546,340161,34573
2020-12-17,Sarawak,1387642,513951,38037
2020-12-17,Selangor,4129102,2000847,131949
2020-12-17,Terengganu,225675,124992,14103
2020-12-17,W.P. KualaLumpur,3630238,1614751,92365
2020-12-17,W.P. Labuan,57017,24485,1850
2020-12-17,W.P. Putrajaya,215967,120958,2583
2020-12-18,Johor,2001878,884470,79071
2020-12-18,Kedah,645770,343782,24749
2020-12-18,Kelantan,183134,108967,8842
2020-12-18,Melaka,609881,272497,22096
2020-12-18,Negeri Sembilan,629381,311554,23432
2020-12-18,Pahang,683527,316618,27506
2020-12-18,Perak,1223388,561184,50467
2020-12-18,Perlis,180426,112875,7902
2020-12-18,Pulau Pinang,1339246,596160,45086
2020-12-18,Sabah,894154,353496,34666
2020-12-18,Sarawak,1440323,524662,38469
2020-12-18,Selangor,4398740,2081524,131894
2020-12-18,Terengganu,170056,102610,7389
2020-12-18,W.P. KualaLumpur,3878145,1686438,91935
2020-12-18,W.P. Labuan,57188,24575,1856
2020-12-18,W.P. Putrajaya,240849,132395,2578
2020-12-19,Johor,2246058,933757,75831
2020-12-19,Kedah,790664,405073,30729
2020-12-19,Kelantan,241200,134679,14276
2020-12-19,Melaka,717147,304386,20108
2020-12-19,Negeri Sembilan,690707,332783,21153
2020-12-19,Pahang,784036,343830,25313
2020-12-19,Perak,1358978,600260,46677
2020-12-19,Perlis,193054,115107,7112
2020-12-19,Pulau Pinang,1527539,620940,40142
2020-12-19,Sabah,912468,344422,30584
2020-12-19,Sarawak,1606118,537166,33672
2020-12-19,Selangor,4721538,2110548,113074
2020-12-19,Terengganu,232140,128195,11845
2020-12-19,W.P. KualaLumpur,4016768,1667897,75957
2020-12-19,W.P. Labuan,53974,23059,1529
2020-12-19,W.P. Putrajaya,235047,126557,1796
2020-12-20,Johor,2283467,934339,63215
2020-12-20,Kedah,801799,414461,30959
2020-12-20,Kelantan,247556,139939,16183
2020-12-20,Melaka,646813,283137,14568
2020-12-20,Negeri Sembilan,631011,313856,15512
2020-12-20,Pahang,673595,314186,17774
2020-12-20,Perak,1178943,550743,31845
2020-12-20,Perlis,169591,101378,4767
2020-12-20,Pulau Pinang,1327383,559831,27387
2020-12-20,Sabah,851873,325640,22769
2020-12-20,Sarawak,1553541,525739,25034
2020-12-20,Selangor,4335658,1969942,80135
2020-12-20,Terengganu,246258,135467,13873
2020-12-20,W.P. KualaLumpur,3662119,1565119,55923
2020-12-20,W.P. Labuan,47400,21094,1118
2020-12-20,W.P. Putrajaya,242800,132806,1569
2020-12-21,Johor,1958081,878084,81129
2020-12-21,Kedah,727589,380007,33555
2020-12-21,Kelantan,246440,137239,16938
2020-12-21,Melaka,571176,258566,21157
2020-12-21,Negeri Sembilan,578884,290359,22378
2020-12-21,Pahang,714546,319572,28058
2020-12-21,Perak,1174971,544180,48322
2020-12-21,Perlis,175727,109479,8033
2020-12-21,Pulau Pinang,1332498,586462,44630
2020-12-21,Sabah,859912,344837,33707
2020-12-21,Sarawak,1317421,494555,35937
2020-12-21,Selangor,4074363,1965292,127413
2020-12-21,Terengganu,241925,133563,14512
2020-12-21,W.P. KualaLumpur,3553927,1589498,89129
2020-12-21,W.P. Labuan,54211,23380,1772
2020-12-21,W.P. Putrajaya,204949,116846,2522
2020-12-22,Johor,2033367,890744,84186
2020-12-22,Kedah,730337,378159,34034
2020-12-22,Kelantan,245847,137249,17141
