state,age_group,dose,metric,value
Kelantan,40_49,booster2,total,1034.0
Kelantan,40_49,dose1,total,161034.0
Kelantan,40_49,dose2,total,159256.0
Kelantan,50_59,booster1,total,57812.0
Kelantan,50_59,booster2,total,774.0
Kelantan,50_59,dose1,total,148059.0
Kelantan,50_59,dose2,total,146786.0
Kelantan,5_11,booster1,total,44.0
Kelantan,5_11,booster2,total,0.0
Kelantan,5_11,dose1,total,43711.0
Kelantan,5_11,dose2,total,37730.0
Kelantan,60_69,booster1,total,47955.0
Kelantan,60_69,booster2,total,920.0
Kelantan,60_69,dose1,total,106844.0
Kelantan,60_69,dose2,total,106182.0
Kelantan,70_79,booster1,total,20279.0
Kelantan,70_79,booster2,total,412.0
Kelantan,70_79,dose1,total,49749.0
Kelantan,70_79,dose2,total,49319.0
Kelantan,80_above,booster1,total,4257.0
Kelantan,80_above,booster2,total,86.0
Kelantan,80_above,dose1,total,13047.0
Kelantan,80_above,dose2,total,12917.0
Kelantan,adolescent,booster1,total,897.0
Kelantan,adolescent,booster2,total,9.0
Kelantan,adolescent,dose1,total,182547.0
Kelantan,adolescent,dose2,total,177304.0
Kelantan,adult,booster1,total,342005.0
Kelantan,adult,booster2,total,6125.0
Kelantan,adult,dose1,total,1027122.0
Kelantan,adult,dose2,total,1012058.0
Kelantan,child,booster1,total,44.0
Kelantan,child,booster2,total,0.0
Kelantan,child,dose1,total,43711.0
Kelantan,child,dose2,total,37730.0
Kelantan,elderly,booster1,total,72491.0
Kelantan,elderly,booster2,total,1418.0
Kelantan,elderly,dose1,total,169640.0
Kelantan,elderly,dose2,total,168418.0
Kelantan,total,booster1,total,342946.0
Kelantan,total,booster2,total,6134.0
Kelantan,total,dose1,total,1253380.0
Kelantan,total,dose2,total,1227092.0
Melaka,0_4,booster1,total,0.0
Melaka,0_4,booster2,total,0.0
Melaka,0_4,dose1,total,0.0
Melaka,0_4,dose2,total,0.0
Melaka,12_17,booster1,total,1765.0
Melaka,12_17,booster2,total,14.0
Melaka,12_17,dose1,total,87278.0
Melaka,12_17,dose2,total,85097.0
Melaka,18_29,booster1,total,153282.0
Melaka,18_29,booster2,total,3872.0
Melaka,18_29,dose1,total,186366.0
Melaka,18_29,dose2,total,185794.0
Melaka,30_39,booster1,total,120369.0
Melaka,30_39,booster2,total,4710.0
Melaka,30_39,dose1,total,141116.0
Melaka,30_39,dose2,total,140420.0
Melaka,40_49,booster1,total,91426.0
Melaka,40_49,booster2,total,3511.0
Melaka,40_49,dose1,total,103853.0
Melaka,40_49,dose2,total,103230.0
Melaka,50_59,booster1,total,78003.0
Melaka,50_59,booster2,total,3472.0
Melaka,50_59,dose1,total,89981.0
Melaka,50_59,dose2,total,89643.0
Melaka,5_11,booster1,total,95.0
Melaka,5_11,booster2,total,2.0
Melaka,5_11,dose1,total,64096.0
Melaka,5_11,dose2,total,56945.0
Melaka,60_69,booster1,total,61998.0
Melaka,60_69,booster2,total,4321.0
Melaka,60_69,dose1,total,69986.0
Melaka,60_69,dose2,total,69738.0
Melaka,70_79,booster1,total,28784.0
Melaka,70_79,booster2,total,2351.0
Melaka,70_79,dose1,total,33407.0
Melaka,70_79,dose2,total,33339.0
Melaka,80_above,booster1,total,8972.0
Melaka,80_above,booster2,total,723.0
Melaka,80_above,dose1,total,11371.0
Melaka,80_above,dose2,total,11259.0
Melaka,adolescent,booster1,total,1765.0
Melaka,adolescent,booster2,total,14.0
Melaka,adolescent,dose1,total,87278.0
Melaka,adolescent,dose2,total,85097.0
Melaka,adult,booster1,total,547461.0
Melaka,adult,booster2,total,23584.0
Melaka,adult,dose1,total,644376.0
Melaka,adult,dose2,total,640048.0
Melaka,child,booster1,total,95.0
Melaka,child,booster2,total,2.0
Melaka,child,dose1,total,64096.0
Melaka,child,dose2,total,56945.0
Melaka,elderly,booster1,total,99754.0
Melaka,elderly,booster2,total,7395.0
Melaka,elderly,dose1,total,114764.0
Melaka,elderly,dose2,total,114336.0
Melaka,total,booster1,total,549321.0
Melaka,total,booster2,total,23600.0
Melaka,total,dose1,total,795750.0
Melaka,total,dose2,total,782090.0
Negeri Sembilan,0_4,booster1,total,0.0
Negeri Sembilan,0_4,booster2,total,0.0
Negeri Sembilan,0_4,dose1,total,0.0
Negeri Sembilan,0_4,dose2,total,0.0
Negeri Sembilan,12_17,booster1,total,1545.0
Negeri Sembilan,12_17,booster2,total,17.0
Negeri Sembilan,12_17,dose1,total,111841.0
Negeri Sembilan,12_17,dose2,total,110614.0
Negeri Sembilan,18_29,booster1,total,180379.0
Negeri Sembilan,18_29,booster2,total,5012.0
Negeri Sembilan,18_29,dose1,total,243516.0
Negeri Sembilan,18_29,dose2,total,242215.0
Negeri Sembilan,30_39,booster1,total,148632.0
Negeri Sembilan,30_39,booster2,total,6007.0
Negeri Sembilan,30_39,dose1,total,195073.0
Negeri Sembilan,30_39,dose2,total,193676.0
Negeri Sembilan,40_49,booster1,total,114025.0
Negeri Sembilan,40_49,booster2,total,3919.0
Negeri Sembilan,40_49,dose1,total,140911.0
