date,state,daily_partial,daily_full,daily_booster,daily,daily_partial_adol,daily_full_adol,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul_booster,cumul,cumul_partial_adol,cumul_full_adol,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,pfizer3,sinovac1,sinovac2,sinovac3,astra1,astra2,astra3,sinopharm1,sinopharm2,sinopharm3,cansino,cansino3,pending1,pending2,pending3
2022-04-29,W.P. Kuala Lumpur,670,2958,199,3827,19,75,612,2850,3230062,3114103,1719963,8061959,176200,171928,154915,70965,613,2855,169,53,103,14,4,0,16,0,0,0,0,0,0,0,0
2022-04-29,W.P. Labuan,35,126,25,186,1,2,34,124,88754,82558,49679,220989,10047,9721,5442,2358,35,126,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,W.P. Putrajaya,276,336,9,621,4,4,270,332,163206,153910,82723,399770,16477,15964,11869,5703,276,336,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,Johor,715,2556,316,3587,33,78,658,2446,3318494,3200458,2119063,8632098,357692,346039,209651,125308,684,2496,270,30,60,20,1,0,26,0,0,0,0,0,0,0,0
2022-04-30,Kedah,175,551,54,780,11,13,159,537,1676967,1619909,738180,4025062,214907,207610,72188,35480,167,536,50,8,15,4,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,Kelantan,99,269,67,435,6,13,91,254,1242587,1202195,328401,2764857,185544,179100,35743,16700,98,267,66,1,2,0,0,0,1,0,0,0,0,0,0,0,0
2022-04-30,Melaka,288,542,58,888,5,27,278,510,783701,756069,541341,2077978,89949,86965,54426,33906,270,525,33,18,16,25,0,1,0,0,0,0,0,0,0,0,0
2022-04-30,Negeri Sembilan,354,879,113,1346,11,24,334,852,1022242,989491,656008,2665763,114871,112857,57529,32952,352,872,111,2,7,2,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,Pahang,105,299,48,452,1,10,101,283,1266353,1219471,622582,3098499,154483,149649,65487,35049,99,293,46,6,6,2,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,Perak,482,1285,144,1911,10,42,464,1238,2005737,1935875,1155386,5082843,221949,213319,106422,63516,465,1269,137,17,16,7,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,Perlis,12,17,0,29,1,0,11,17,215563,210029,78688,503626,25100,24596,7951,4393,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-30,Pulau Pinang,294,1149,145,1588,18,44,257,1092,1624210,1590113,1073808,4283614,141082,137315,75955,55642,251,1062,110,42,86,15,0,1,20,1,0,0,0,0,0,0,0
2022-04-30,Sabah,897,2623,255,3775,35,132,854,2483,2587665,2464194,914931,5833779,335737,319468,117014,52823,870,2587,249,27,33,5,0,0,0,0,0,0,3,1,0,0,0
