date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2022-01-15,Perak,120,5,196,1441,0,14,1,89,16,11,3,86,20,6,5,3,35,22,12,17,9,7,4
2022-01-15,Perlis,3,0,26,209,0,0,0,2,1,0,1,2,0,0,0,1,2,0,0,0,0,0,0
2022-01-15,Pulau Pinang,200,38,207,1562,34,63,1,120,16,33,11,132,24,6,27,11,47,50,20,15,11,11,2
2022-01-15,Sabah,265,1,104,5128,4,71,1,172,21,49,17,178,20,18,31,17,67,46,28,37,18,1,1
2022-01-15,Sarawak,13,2,17,158,0,4,0,6,3,2,0,10,1,0,2,0,3,4,2,1,0,1,0
2022-01-15,Selangor,837,120,766,10677,10,147,2,573,115,95,35,600,84,42,53,35,237,198,91,74,65,15,4
2022-01-15,Terengganu,57,1,126,1060,0,15,1,35,6,11,1,39,6,7,4,1,9,21,6,3,4,2,0
2022-01-15,W.P. Kuala Lumpur,276,125,191,3718,3,50,1,175,50,24,13,206,33,13,11,13,60,66,42,38,25,8,0
2022-01-15,W.P. Labuan,15,1,6,103,0,4,0,8,3,3,2,10,0,3,0,2,2,5,2,1,0,0,0
2022-01-15,W.P. Putrajaya,5,0,17,438,0,0,0,4,1,0,0,5,0,0,0,0,2,2,0,1,0,0,0
2022-01-16,Johor,371,8,192,7289,67,88,0,249,34,53,50,229,39,18,35,50,99,58,38,34,25,9,5
2022-01-16,Kedah,175,1,188,1492,4,38,1,123,13,33,32,98,10,9,24,32,42,26,13,17,7,3,0
2022-01-16,Kelantan,160,2,303,2281,10,28,2,118,12,21,18,103,18,7,14,18,41,23,16,23,13,4,1
2022-01-16,Melaka,144,0,224,1290,21,34,0,93,17,29,11,98,6,10,19,11,42,31,15,10,6,0,0
2022-01-16,Negeri Sembilan,203,21,87,1659,108,27,1,154,21,18,7,168,10,5,13,7,124,18,14,12,5,3,2
2022-01-16,Pahang,207,2,157,2379,4,52,2,131,22,32,27,133,15,14,18,27,65,41,15,12,10,5,0
2022-01-16,Perak,120,4,142,1419,14,27,1,82,10,15,4,77,23,9,6,4,24,26,12,15,14,5,4
2022-01-16,Perlis,3,0,13,199,0,0,0,3,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0
2022-01-16,Pulau Pinang,178,8,185,1555,11,51,0,110,17,39,13,106,20,15,24,13,33,32,23,18,9,9,2
2022-01-16,Sabah,213,2,58,5283,37,34,2,157,20,22,30,141,19,8,14,30,65,40,24,12,15,2,2
2022-01-16,Sarawak,6,2,23,140,0,2,0,1,3,2,0,4,0,1,1,0,2,1,1,0,0,0,0
2022-01-16,Selangor,914,65,717,10873,15,187,4,601,122,124,51,660,66,50,74,51,251,240,93,76,43,18,5
2022-01-16,Terengganu,63,2,129,994,0,16,0,39,8,11,0,43,9,5,6,0,12,16,10,5,4,3,2
