"date","state","cases_imported","cases_imported_total"
2020-09-09,"PAHANG",0,5
2020-09-09,"TERENGGANU",0,1
2020-09-09,"KELANTAN",0,3
2020-09-09,"SABAH",2,22
2020-09-09,"SARAWAK",1,50
2020-09-09,"WP KUALA LUMPUR",1,284
2020-09-09,"WP PUTRAJAYA",0,14
2020-09-09,"WP LABUAN",0,4
2020-09-10,"PERLIS",0,0
2020-09-10,"KEDAH",0,6
2020-09-10,"PULAU PINANG",0,0
2020-09-10,"PERAK",0,6
2020-09-10,"SELANGOR",1,238
2020-09-10,"NEGERI SEMBILAN",0,156
2020-09-10,"MELAKA",0,40
2020-09-10,"JOHOR",0,52
2020-09-10,"PAHANG",0,5
2020-09-10,"TERENGGANU",0,1
2020-09-10,"KELANTAN",0,3
2020-09-10,"SABAH",0,22
2020-09-10,"SARAWAK",0,50
2020-09-10,"WP KUALA LUMPUR",0,284
2020-09-10,"WP PUTRAJAYA",0,14
2020-09-10,"WP LABUAN",0,4
2020-09-11,"PERLIS",0,0
2020-09-11,"KEDAH",0,6
2020-09-11,"PULAU PINANG",0,0
2020-09-11,"PERAK",0,6
2020-09-11,"SELANGOR",1,239
2020-09-11,"NEGERI SEMBILAN",0,156
2020-09-11,"MELAKA",0,40
2020-09-11,"JOHOR",0,52
2020-09-11,"PAHANG",0,5
2020-09-11,"TERENGGANU",0,1
2020-09-11,"KELANTAN",0,3
2020-09-11,"SABAH",0,22
2020-09-11,"SARAWAK",0,50
2020-09-11,"WP KUALA LUMPUR",0,284
2020-09-11,"WP PUTRAJAYA",0,14
2020-09-11,"WP LABUAN",0,4
2020-09-12,"PERLIS",0,0
2020-09-12,"KEDAH",0,6
2020-09-12,"PULAU PINANG",0,0
2020-09-12,"PERAK",0,6
2020-09-12,"SELANGOR",2,241
2020-09-12,"NEGERI SEMBILAN",0,156
2020-09-12,"MELAKA",0,40
2020-09-12,"JOHOR",0,52
2020-09-12,"PAHANG",0,5
2020-09-12,"TERENGGANU",0,1
2020-09-12,"KELANTAN",0,3
2020-09-12,"SABAH",1,23
2020-09-12,"SARAWAK",0,50
2020-09-12,"WP KUALA LUMPUR",2,286
2020-09-12,"WP PUTRAJAYA",0,14
2020-09-12,"WP LABUAN",0,4
2020-09-13,"PERLIS",0,0
2020-09-13,"KEDAH",0,6
2020-09-13,"PULAU PINANG",0,0
2020-09-13,"PERAK",0,6
2020-09-13,"SELANGOR",1,242
2020-09-13,"NEGERI SEMBILAN",0,156
2020-09-13,"MELAKA",0,40
2020-09-13,"JOHOR",0,52
2020-09-13,"PAHANG",0,5
2020-09-13,"TERENGGANU",0,1
2020-09-13,"KELANTAN",0,3
2020-09-13,"SABAH",0,23
2020-09-13,"SARAWAK",0,50
2020-09-13,"WP KUALA LUMPUR",1,287
2020-09-13,"WP PUTRAJAYA",0,14
2020-09-13,"WP LABUAN",0,4
2020-09-14,"PERLIS",0,0
2020-09-14,"KEDAH",0,6
2020-09-14,"PULAU PINANG",0,0
2020-09-14,"PERAK",0,6
2020-09-14,"SELANGOR",0,242
2020-09-14,"NEGERI SEMBILAN",0,156
2020-09-14,"MELAKA",0,40
2020-09-14,"JOHOR",0,52
2020-09-14,"PAHANG",0,5
2020-09-14,"TERENGGANU",0,1
2020-09-14,"KELANTAN",0,3
2020-09-14,"SABAH",2,25
2020-09-14,"SARAWAK",0,50
2020-09-14,"WP KUALA LUMPUR",1,288
2020-09-14,"WP PUTRAJAYA",0,14
2020-09-14,"WP LABUAN",0,4
2020-09-15,"PERLIS",0,0
2020-09-15,"KEDAH",0,6
2020-09-15,"PULAU PINANG",0,0
2020-09-15,"PERAK",0,6
2020-09-15,"SELANGOR",5,247
2020-09-15,"NEGERI SEMBILAN",0,156
2020-09-15,"MELAKA",0,40
2020-09-15,"JOHOR",0,52
2020-09-15,"PAHANG",0,5
2020-09-15,"TERENGGANU",0,1
2020-09-15,"KELANTAN",0,3
2020-09-15,"SABAH",0,25
2020-09-15,"SARAWAK",0,50
2020-09-15,"WP KUALA LUMPUR",5,293
2020-09-15,"WP PUTRAJAYA",0,14
2020-09-15,"WP LABUAN",0,4
2020-09-16,"PERLIS",0,0
2020-09-16,"KEDAH",0,6
2020-09-16,"PULAU PINANG",0,0
2020-09-16,"PERAK",0,6
2020-09-16,"SELANGOR",0,247
2020-09-16,"NEGERI SEMBILAN",0,156
2020-09-16,"MELAKA",0,40
2020-09-16,"JOHOR",0,52
2020-09-16,"PAHANG",0,5
2020-09-16,"TERENGGANU",0,1
2020-09-16,"KELANTAN",0,3
2020-09-16,"SABAH",1,26
2020-09-16,"SARAWAK",0,50
2020-09-16,"WP KUALA LUMPUR",0,293
2020-09-16,"WP PUTRAJAYA",0,14
2020-09-16,"WP LABUAN",0,4
2020-09-17,"PERLIS",0,0
2020-09-17,"KEDAH",0,6
2020-09-17,"PULAU PINANG",0,0
2020-09-17,"PERAK",0,6
2020-09-17,"SELANGOR",2,249
2020-09-17,"NEGERI SEMBILAN",0,156
2020-09-17,"MELAKA",0,40
2020-09-17,"JOHOR",0,52
2020-09-17,"PAHANG",0,5
2020-09-17,"TERENGGANU",0,1
2020-09-17,"KELANTAN",0,3
2020-09-17,"SABAH",3,29
2020-09-17,"SARAWAK",0,50
2020-09-17,"WP KUALA LUMPUR",0,293
2020-09-17,"WP PUTRAJAYA",0,14
2020-09-17,"WP LABUAN",0,4
2020-09-18,"PERLIS",0,0
2020-09-18,"KEDAH",0,6
2020-09-18,"PULAU PINANG",0,0
2020-09-18,"PERAK",0,6
2020-09-18,"SELANGOR",3,252
2020-09-18,"NEGERI SEMBILAN",0,156
2020-09-18,"MELAKA",0,40
2020-09-18,"JOHOR",0,52
2020-09-18,"PAHANG",0,5
2020-09-18,"TERENGGANU",0,1
2020-09-18,"KELANTAN",0,3
2020-09-18,"SABAH",1,30
2020-09-18,"SARAWAK",0,50
2020-09-18,"WP KUALA LUMPUR",0,293
2020-09-18,"WP PUTRAJAYA",0,14
2020-09-18,"WP LABUAN",0,4
2020-09-19,"PERLIS",0,0
2020-09-19,"KEDAH",0,6
2020-09-19,"PULAU PINANG",0,0
2020-09-19,"PERAK",0,6
2020-09-19,"SELANGOR",1,253
2020-09-19,"NEGERI SEMBILAN",0,156
2020-09-19,"MELAKA",0,40
2020-09-19,"JOHOR",0,52
2020-09-19,"PAHANG",0,5
2020-09-19,"TERENGGANU",0,1
2020-09-19,"KELANTAN",0,3
2020-09-19,"SABAH",0,30
2020-09-19,"SARAWAK",0,50
2020-09-19,"WP KUALA LUMPUR",2,295
2020-09-19,"WP PUTRAJAYA",0,14
2020-09-19,"WP LABUAN",0,4
2020-09-20,"PERLIS",0,0
2020-09-20,"KEDAH",0,6
