week,state,abs_0_4,abs_5_11,abs_12_17,abs_18_29,abs_30_39,abs_40_49,abs_50_59,abs_60_69,abs_70_79,abs_80_+,perc_0_4,perc_5_11,perc_12_17,perc_18_29,perc_30_39,perc_40_49,perc_50_59,perc_60_69,perc_70_79,perc_80_+,capita_0_4,capita_5_11,capita_12_17,capita_18_29,capita_30_39,capita_40_49,capita_50_59,capita_60_69,capita_70_79,capita_80_+
w15,Terengganu,2,0,0,1,7,1,3,3,0,3,10.0,0.0,0.0,5.0,35.0,5.0,15.0,15.0,0.0,15.0,1.47,0.0,0.0,0.36,3.79,0.84,2.8,4.05,0.0,25.21
w14,Terengganu,3,0,1,5,8,4,2,2,0,2,11.11,0.0,3.7,18.52,29.63,14.81,7.41,7.41,0.0,7.41,2.2,0.0,0.72,1.8,4.34,3.35,1.87,2.7,0.0,16.81
w13,Terengganu,5,2,0,1,9,4,2,4,3,2,15.62,6.25,0.0,3.12,28.12,12.5,6.25,12.5,9.38,6.25,3.67,1.13,0.0,0.36,4.88,3.35,1.87,5.4,8.77,16.81
w12,Terengganu,1,0,1,10,9,4,4,2,3,0,2.94,0.0,2.94,29.41,26.47,11.76,11.76,5.88,8.82,0.0,0.73,0.0,0.72,3.6,4.88,3.35,3.74,2.7,8.77,0.0
w11,Terengganu,1,2,0,8,11,4,2,1,1,3,3.03,6.06,0.0,24.24,33.33,12.12,6.06,3.03,3.03,9.09,0.73,1.13,0.0,2.88,5.96,3.35,1.87,1.35,2.92,25.21
w10,Terengganu,3,9,6,9,19,10,2,1,1,3,4.76,14.29,9.52,14.29,30.16,15.87,3.17,1.59,1.59,4.76,2.2,5.1,4.34,3.24,10.3,8.38,1.87,1.35,2.92,25.21
w9,Terengganu,2,4,4,16,25,7,5,9,3,8,2.41,4.82,4.82,19.28,30.12,8.43,6.02,10.84,3.61,9.64,1.47,2.27,2.9,5.77,13.55,5.87,4.67,12.15,8.77,67.23
w8,Terengganu,8,3,9,8,11,7,7,3,0,6,12.9,4.84,14.52,12.9,17.74,11.29,11.29,4.84,0.0,9.68,5.87,1.7,6.52,2.88,5.96,5.87,6.54,4.05,0.0,50.42
w7,Terengganu,4,3,4,22,20,12,4,7,6,5,4.6,3.45,4.6,25.29,22.99,13.79,4.6,8.05,6.9,5.75,2.93,1.7,2.9,7.93,10.84,10.06,3.74,9.45,17.54,42.02
w6,Terengganu,5,0,3,23,27,12,9,8,7,10,4.81,0.0,2.88,22.12,25.96,11.54,8.65,7.69,6.73,9.62,3.67,0.0,2.17,8.29,14.63,10.06,8.41,10.8,20.47,84.03
w5,Terengganu,6,5,2,47,33,20,7,10,11,13,3.9,3.25,1.3,30.52,21.43,12.99,4.55,6.49,7.14,8.44,4.4,2.83,1.45,16.94,17.89,16.76,6.54,13.5,32.16,109.24
w4,Terengganu,8,6,8,36,54,21,13,13,17,17,4.15,3.11,4.15,18.65,27.98,10.88,6.74,6.74,8.81,8.81,5.87,3.4,5.79,12.98,29.27,17.6,12.15,17.54,49.71,142.86
w3,Terengganu,4,13,4,20,18,8,11,4,9,15,3.77,12.26,3.77,18.87,16.98,7.55,10.38,3.77,8.49,14.15,2.93,7.37,2.9,7.21,9.76,6.71,10.28,5.4,26.32,126.05
w2,Terengganu,6,8,8,15,25,7,5,4,3,12,6.45,8.6,8.6,16.13,26.88,7.53,5.38,4.3,3.23,12.9,4.4,4.54,5.79,5.41,13.55,5.87,4.67,5.4,8.77,100.84
w1,Terengganu,3,6,6,19,25,16,9,4,5,5,3.06,6.12,6.12,19.39,25.51,16.33,9.18,4.08,5.1,5.1,2.2,3.4,4.34,6.85,13.55,13.41,8.41,5.4,14.62,42.02
w0,Terengganu,5,3,7,24,26,14,8,8,9,17,4.13,2.48,5.79,19.83,21.49,11.57,6.61,6.61,7.44,14.05,3.67,1.7,5.07,8.65,14.09,11.74,7.48,10.8,26.32,142.86
w24,W.P. Kuala Lumpur,12,11,10,173,177,72,54,30,21,21,2.07,1.89,1.72,29.78,30.46,12.39,9.29,5.16,3.61,3.61,10.31,6.55,7.1,48.94,54.51,27.68,27.54,23.31,32.46,100.96
w23,W.P. Kuala Lumpur,8,5,9,113,136,83,31,21,21,18,1.8,1.12,2.02,25.39,30.56,18.65,6.97,4.72,4.72,4.04,6.87,2.98,6.39,31.97,41.88,31.91,15.81,16.32,32.46,86.54
w22,W.P. Kuala Lumpur,8,14,10,134,152,82,28,23,15,12,1.67,2.93,2.09,28.03,31.8,17.15,5.86,4.81,3.14,2.51,6.87,8.34,7.1,37.91,46.81,31.53,14.28,17.87,23.18,57.69
w21,W.P. Kuala Lumpur,6,18,13,99,102,68,31,16,19,8,1.58,4.74,3.42,26.05,26.84,17.89,8.16,4.21,5.0,2.11,5.15,10.72,9.23,28.01,31.41,26.14,15.81,12.43,29.37,38.46
w20,W.P. Kuala Lumpur,8,12,17,110,135,69,31,15,19,14,1.86,2.79,3.95,25.58,31.4,16.05,7.21,3.49,4.42,3.26,6.87,7.15,12.07,31.12,41.58,26.53,15.81,11.66,29.37,67.31
w19,W.P. Kuala Lumpur,10,11,7,66,69,36,20,18,16,8,3.83,4.21,2.68,25.29,26.44,13.79,7.66,6.9,6.13,3.07,8.59,6.55,4.97,18.67,21.25,13.84,10.2,13.99,24.73,38.46
w18,W.P. Kuala Lumpur,9,19,16,119,131,80,35,22,15,9,1.98,4.18,3.52,26.15,28.79,17.58,7.69,4.84,3.3,1.98,7.73,11.32,11.36,33.66,40.34,30.76,17.85,17.09,23.18,43.27
w17,W.P. Kuala Lumpur,10,18,15,99,134,61,24,17,17,5,2.5,4.5,3.75,24.75,33.5,15.25,6.0,4.25,4.25,1.25,8.59,10.72,10.65,28.01,41.27,23.45,12.24,13.21,26.28,24.04
w16,W.P. Kuala Lumpur,9,16,9,131,104,70,34,17,10,9,2.2,3.91,2.2,32.03,25.43,17.11,8.31,4.16,2.44,2.2,7.73,9.53,6.39,37.06,32.03,26.91,17.34,13.21,15.46,43.27
w15,W.P. Kuala Lumpur,4,4,6,92,131,50,26,16,11,7,1.15,1.15,1.73,26.51,37.75,14.41,7.49,4.61,3.17,2.02,3.44,2.38,4.26,26.03,40.34,19.22,13.26,12.43,17.0,33.65
w14,W.P. Kuala Lumpur,4,12,6,109,130,54,36,15,11,5,1.05,3.14,1.57,28.53,34.03,14.14,9.42,3.93,2.88,1.31,3.44,7.15,4.26,30.83,40.04,20.76,18.36,11.66,17.0,24.04
w13,W.P. Kuala Lumpur,10,9,5,142,158,81,36,29,13,8,2.04,1.83,1.02,28.92,32.18,16.5,7.33,5.91,2.65,1.63,8.59,5.36,3.55,40.17,48.66,31.14,18.36,22.53,20.09,38.46
w12,W.P. Kuala Lumpur,4,3,6,167,153,75,38,22,11,16,0.81,0.61,1.21,33.74,30.91,15.15,7.68,4.44,2.22,3.23,3.44,1.79,4.26,47.24,47.12,28.84,19.38,17.09,17.0,76.92
w11,W.P. Kuala Lumpur,14,21,15,138,202,104,48,30,13,22,2.31,3.46,2.47,22.73,33.28,17.13,7.91,4.94,2.14,3.62,12.03,12.51,10.65,39.04,62.21,39.98,24.48,23.31,20.09,105.77
w10,W.P. Kuala Lumpur,17,24,22,168,222,128,34,27,10,20,2.53,3.57,3.27,25.0,33.04,19.05,5.06,4.02,1.49,2.98,14.6,14.29,15.62,47.52,68.37,49.21,17.34,20.98,15.46,96.15
w9,W.P. Kuala Lumpur,15,32,49,274,275,149,69,33,17,24,1.6,3.42,5.23,29.24,29.35,15.9,7.36,3.52,1.81,2.56,12.89,19.06,34.8,77.51,84.69,57.29,35.19,25.64,26.28,115.38
w8,W.P. Kuala Lumpur,9,27,162,343,335,198,97,51,30,45,0.69,2.08,12.49,26.45,25.83,15.27,7.48,3.93,2.31,3.47,7.73,16.08,115.06,97.03,103.17,76.12,49.46,39.63,46.37,216.35
w7,W.P. Kuala Lumpur,9,20,40,272,363,198,70,30,29,32,0.85,1.88,3.76,25.59,34.15,18.63,6.59,2.82,2.73,3.01,7.73,11.91,28.41,76.94,111.8,76.12,35.7,23.31,44.82,153.85
w6,W.P. Kuala Lumpur,13,10,12,296,356,210,85,43,17,25,1.22,0.94,1.12,27.74,33.36,19.68,7.97,4.03,1.59,2.34,11.17,5.96,8.52,83.73,109.64,80.74,43.35,33.41,26.28,120.19
w5,W.P. Kuala Lumpur,22,59,64,445,582,318,124,60,37,70,1.24,3.31,3.59,24.99,32.68,17.86,6.96,3.37,2.08,3.93,18.9,35.14,45.45,125.88,179.24,122.26,63.23,46.62,57.19,336.54
w4,W.P. Kuala Lumpur,27,68,72,457,633,351,141,81,39,46,1.41,3.55,3.76,23.86,33.05,18.33,7.36,4.23,2.04,2.4,23.2,40.5,51.14,129.28,194.95,134.95,71.9,62.94,60.28,221.15
w3,W.P. Kuala Lumpur,21,48,78,326,487,264,106,60,41,42,1.43,3.26,5.3,22.13,33.06,17.92,7.2,4.07,2.78,2.85,18.04,28.59,55.4,92.22,149.98,101.5,54.05,46.62,63.37,201.92
w2,W.P. Kuala Lumpur,26,53,77,318,442,227,111,52,32,40,1.89,3.85,5.59,23.08,32.08,16.47,8.06,3.77,2.32,2.9,22.34,31.57,54.69,89.96,136.13,87.27,56.6,40.4,49.46,192.31
w1,W.P. Kuala Lumpur,8,26,37,269,410,241,75,50,20,34,0.68,2.22,3.16,22.99,35.04,20.6,6.41,4.27,1.71,2.91,6.87,15.49,26.28,76.1,126.27,92.66,38.25,38.85,30.91,163.46
w0,W.P. Kuala Lumpur,10,29,28,209,281,148,69,41,20,24,1.16,3.38,3.26,24.33,32.71,17.23,8.03,4.77,2.33,2.79,8.59,17.27,19.89,59.12,86.54,56.9,35.19,31.86,30.91,115.38
w24,W.P. Labuan,2,1,0,3,2,4,2,0,1,2,11.76,5.88,0.0,17.65,11.76,23.53,11.76,0.0,5.88,11.76,22.99,8.2,0.0,15.87,10.26,31.5,22.73,0.0,47.62,200.0
